discovered_at,source_id,source_url,source_version,source_question_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,stated_answer,topic_notes,date_found
2026-06-06,9tut-ccna-engine-pbq,https://www.9tut.com/ccna-testing-engine,CCNA 200-301 engine,1,"drag-and-drop questions, and lab simulations with our Premium Membership",,,,,,,,Tier C reference — CCNA premium engine advertises drag-drop + lab sims; interaction pattern intel only,2026-06-06
2026-06-06,crucialexams-ccna-pbq,https://crucialexams.com/exams/cisco/ccna/200-301/practice-tests-practice-questions,200-301,2,"drag-and-drop exercises, and simulations, which test both theoretical understanding and practical skills",,,,,,,,Tier B PBQ — 7 PBQ stated; preview on page without premium,2026-06-06
2026-06-06,exam-labs-ccna-pbq,https://www.exam-labs.com/dumps/200-301,200-301,1,"drag and drop, simulation, type in, and fill in the blank",,,,,,,,Tier C — VCE Virtual CertExam; drag-drop / sim claims,2026-06-06
2026-06-06,examcollection-ccna-pbq,https://www.examcollection.com/200-301-dumps.html,200-301,catalog,"Page mentions Security+ PBQ / drag-and-drop / simulation practice (simulation, simulator)",,,,,,,,Tier C — VCE drag-drop / sim marketing; discovery only,2026-06-06
2026-06-06,howtonetwork-ccna-pbq,https://www.howtonetwork.com/free/cisco-ccna-exam-walkthrough/,200-301,1,Drag the OSPF transitional stages in the correct order,,,,,,,,Tier B — 103 Q walkthrough with D&D + multi-select; H5P embed,2026-06-06
2026-06-06,openexamprep-ccna-pbq,https://open-exam-prep.com/practice/ccna,200-301 v1.1,1,"drag-and-drop, and simulation/simlet items",,,,,,,,Tier B PBQ — scan page for drag-drop / sim copy; verify on Cisco Tier A,2026-06-06
2026-06-06,prepaway-ccna-pbq,https://www.prepaway.com/ccna-certification-exams.html,200-301,1,"s that help candidates assess their readiness and identify specific knowledge gaps before they sit for the real exam. Using a combination of these resource types rather than relying on any single one produces the most well-rounded preparation. Why Hands-On Lab Practice Is Non-Negotiable The CCNA is fundamentally a practical certification that tests the ability to configure and troubleshoot real networking devices, not just recall theoretical information about how networking w",,,,,,,,Tier C — VCE drag-drop / sim claims,2026-06-06
