discovered_at,source_id,source_url,source_version,source_question_id,stem,choice_a,choice_b,choice_c,choice_d,choice_e,choice_f,stated_answer,topic_notes,date_found
2026-06-27,certimaan-ccnaauto-pbq,https://www.certimaan.com/post/cisco-devnet-sample-questions,200-901 v1.1,catalog,"Page mentions Security+ PBQ / drag-and-drop / simulation practice (drag-and-drop, hands-on)",,,,,,,,Tier C — script/API/PBQ signals; verify on Cisco Tier A,2026-06-27
2026-06-27,diontraining-ccnaauto-pbq,https://www.diontraining.com/search?q=ccna+automation&type=product,200-901 v1.1,catalog,Site advertises 1 performance-based question(s) (PBQ) for 200-901 v1.1,,,,,,,,Tier B — PBQ / lab packs (Sec+ model); verify on Cisco Tier A,2026-06-27
2026-06-27,diontraining-ccnaauto-pbq,https://www.diontraining.com/search?q=ccna+automation&type=product,200-901 v1.1,count-1,Stated count on page: 1 PBQs (200-901 v1.1),,,,,,,,Tier B — PBQ / lab packs (Sec+ model); verify on Cisco Tier A,2026-06-27
2026-06-27,howtonetwork-ccnaauto-pbq,https://www.howtonetwork.com/free/devnet-associate/,200-901 v1.1,catalog,"Page mentions Security+ PBQ / drag-and-drop / simulation practice (pbq, performance-based)",,,,,,,,Tier B — H5P script/API interactions,2026-06-27
